RoundNumber;Country;Location;OfficialEventName;EventDate;EventName;EventFormat;Session1;Session2;Session3;Session4;Session5
0;Bahrain;Sakhir;FORMULA 1 ARAMCO PRE-SEASON TESTING 2025;2025-02-28;Pre-Season Testing;testing;Practice 1;Practice 2;Practice 3;None;None
1;Australia;Melbourne;FORMULA 1 LOUIS VUITTON AUSTRALIAN GRAND PRIX 2025;2025-03-16;Australian Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
2;China;Shanghai;FORMULA 1 HEINEKEN CHINESE GRAND PRIX 2025;2025-03-23;Chinese Grand Prix;sprint_qualifying;Practice 1;Sprint Qualifying;Sprint;Qualifying;Race
3;Japan;Suzuka;FORMULA 1 LENOVO JAPANESE GRAND PRIX 2025 ;2025-04-06;Japanese Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
4;Bahrain;Sakhir;FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2025;2025-04-13;Bahrain Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
5;Saudi Arabia;Jeddah;FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2025;2025-04-20;Saudi Arabian Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
6;United States;Miami;FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2025;2025-05-04;Miami Grand Prix;sprint_qualifying;Practice 1;Sprint Qualifying;Sprint;Qualifying;Race
7;Italy;Imola;FORMULA 1 AWS GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2025;2025-05-18;Emilia Romagna Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
8;Monaco;Monaco;FORMULA 1 TAG HEUER GRAND PRIX DE MONACO 2025;2025-05-25;Monaco Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
9;Spain;Barcelona;FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2025;2025-06-01;Spanish Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
10;Canada;Montréal;FORMULA 1 PIRELLI GRAND PRIX DU CANADA 2025;2025-06-15;Canadian Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
11;Austria;Spielberg;FORMULA 1 MSC CRUISES AUSTRIAN GRAND PRIX 2025;2025-06-29;Austrian Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
12;United Kingdom;Silverstone;FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2025;2025-07-06;British Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
13;Belgium;Spa-Francorchamps;FORMULA 1 MOËT & CHANDON BELGIAN GRAND PRIX 2025;2025-07-27;Belgian Grand Prix;sprint_qualifying;Practice 1;Sprint Qualifying;Sprint;Qualifying;Race
14;Hungary;Budapest;FORMULA 1 LENOVO HUNGARIAN GRAND PRIX 2025;2025-08-03;Hungarian Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
15;Netherlands;Zandvoort;FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2025;2025-08-31;Dutch Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
16;Italy;Monza;FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2025;2025-09-07;Italian Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
17;Azerbaijan;Baku;FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2025;2025-09-21;Azerbaijan Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
18;Singapore;Marina Bay;FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2025;2025-10-05;Singapore Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
19;United States;Austin;FORMULA 1 MSC CRUISES UNITED STATES GRAND PRIX 2025;2025-10-19;United States Grand Prix;sprint_qualifying;Practice 1;Sprint Qualifying;Sprint;Qualifying;Race
20;Mexico;Mexico City;FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2025;2025-10-26;Mexico City Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
21;Brazil;São Paulo;FORMULA 1 MSC CRUISES GRANDE PRÊMIO DE SÃO PAULO 2025;2025-11-09;São Paulo Grand Prix;sprint_qualifying;Practice 1;Sprint Qualifying;Sprint;Qualifying;Race
22;United States;Las Vegas;FORMULA 1 HEINEKEN LAS VEGAS GRAND PRIX 2025;2025-11-22;Las Vegas Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
23;Qatar;Lusail;FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2025;2025-11-30;Qatar Grand Prix;sprint_qualifying;Practice 1;Sprint Qualifying;Sprint;Qualifying;Race
24;United Arab Emirates;Yas Island;FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2025 ;2025-12-07;Abu Dhabi Grand Prix;conventional;Practice 1;Practice 2;Practice 3;Qualifying;Race
